roaster,cleaned_desc_1,sentiment_scores,compound,compound_scaled_0_1,compound_scaled_1_10
Level Ground Trading,evaluated espresso intrigungly complex balanced dark chocolate molasses cedar narcissus date aroma small cup satinysmooth body sweetly cocoatoned finish three part milk floral cocoa tone lead short hint rich date resurface long,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.7717}",0.7717,0.88585,8.97265
Old Soul Co.,surprising melodic delicate yet vivid lilac lemon blossom fresh sweet grass honey moist pipe tobacco freshcut elm aroma cup structure subtly sweetly tart light silky mouthfeel unexpectedly rich flavorsaturated finish pipe tobacco honey lemon blossom,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.9231}",0.9231,0.96155,9.65395
A.R.C.,delicate gently tart spicetoned pomegranate cocoa powder lemon blossom white peppercorn hazelnut aroma cup lively quietly complex structure crisp buoyant mouthfeel finish lead gently drying note hazelnut white peppercorn short segue cocoatoned citrus blossom long,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.875}",0.875,0.9375,9.4375
A.R.C.,rich sweettoned balanced nougat pink peppercorn lemongrass roasted cacao nib tea rose aroma cup floraltoned bittersweet structure delicate satiny mouthfeel note aromatic wood spicetoned florals carry gently drying finish,"{'neg': 0.038, 'neu': 0.733, 'pos': 0.229, 'compound': 0.7579}",0.7579,0.87895,8.91055
A.R.C.,evaluated espresso subtle enveloping richly sweettoned jasmine roasted cacao nib passionfruit sandalwood nougat aroma small cup delicate silky mouthfeel cocoa sandalwoodtoned finish note passionfruit carrying long three part milk passionfruit jasmine harmonize cocoa pleasing aromatic wood,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.8481}",0.8481,0.92405,9.31645
Bootstrap Coffee Roasters,sweet delicate floral woodtoned freshcut fir demerara sugar orange zest faint roselike flower aroma cup gently bittersweet structure lightly syrupy mouthfeel flavor consolidates persists round sweettoned finish,"{'neg': 0.041, 'neu': 0.73, 'pos': 0.229, 'compound': 0.7096}",0.7096,0.8548,8.693200000000001
Paradise Roasters,crisply sweet multifaceted candied violet dark chocolate pungent juniper wood grapefruit zest mango aroma cup sweetly tart structure juicy acidity satiny mouthfeel resonant finish center around mango violet short dark chocolate long hint aromatic wood,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.7269}",0.7269,0.86345,8.77105
Hula Daddy Kona Coffee,spectacularly sweet hugely aromatic meyer lemon marmalade cedar pistachio guava jasmine aroma cup crisply sweettart massively juicy structure plush buoyant mouthfeel juicy structure complex aromatics persist long lingering finish,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.5994}",0.5994,0.7997000000000001,8.1973
Kakalove Cafe,crisply sweetsavory lavender roasted cacao nib strawberry guava hazelnut toasted barley aroma cup sweetly floral structure savory undertone crisp velvety mouthfeel cocoatoned finish lead spicy florals tropical fruit short grounded pleasing note toasted barley long,"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.7579}",0.7579,0.87895,8.91055
Jackrabbit Java,sweetly pungent gently roasty scorched cedar dark chocolate plum lavender lime zest aroma cup complex structure sweetly tart roasty savory depth light satiny mouthfeel lemon zest dark chocolate plum carry rich though drying finish,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.9153}",0.9153,0.95765,9.61885
Kakalove Cafe,elegant deep sweetly savory jasmine sandalwood plum nutellalike nut cocoa tangerine zest aroma cup hightoned balanced structure citrusy acidity syrupysmooth mouthfeel finish long resonant flavorsaturated carrying promise cup,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.8176}",0.8176,0.9088,9.1792
Propeller Coffee,evaluated espresso balanced deeply sweetly pungent honeysuckle cashew baker ’ chocolate cedar caramel aroma small cup satiny mouthfeel crisp resonant finish lead baker ’ chocolate short rounding nuttoned florals long threeparts milk full expressive cashew butter baker ’ chocolate honeysuckle,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.5256}",0.5256,0.7627999999999999,7.8652
Propeller Coffee,evaluated espresso floraltoned lively black currant narcissus sandalwood roasted cacao nib molasses aroma small cup syrupy buoyant mouthfeel gently drying flavorsaturated finish centered around note black currant narcissus three part milk centered narcissuslike florals cocoa tone black currant underneath hint sandalwood resurfacing well,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.836}",0.836,0.9179999999999999,9.261999999999999
Propeller Coffee,bright richly sweet complex red currant lilac dark chocolate lime zest redwood aroma cup sweetly savory structure juicy acidity plush syrupy mouthfeel balanced finish resonant note red currant dark chocolate hint lime zest,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.8979}",0.8979,0.94895,9.54055
Chocolate Fish Coffee Roasters,delicately sweet balanced subtle hint fermented fruit peach sweet chocolate sandalwood honeysuckle almond aroma cup gently sweetly bright structure light yet satiny mouthfeel quiet resonantly long finish peach chocolate almond,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.9432}",0.9432,0.9716,9.7444
Caffe Luxxe,sweetly pungent lightly savory unusual aromatics floraltoned honey plum musk hint coriander aroma cup crisply sweet savoryedged structure lightly syrupy mouthfeel dry gently flavorsaturated finish,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.8442}",0.8442,0.9220999999999999,9.2989
Espresso Republic,brisk subtly layered almond butter dried apricot freshcut fir hint dark chocolate clover aroma cup sweetly brisk dry structure lightly syrupy mouthfeel drying structure sweetens smoothes bit finish chocolate cloverlike flower move forward,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.6486}",0.6486,0.8243,8.418700000000001
Lexington Coffee Roasters,deeply pungently sweettart lavender grapefruit zest sandalwood blackberry hint baker ’ chocolate aroma cup simultaneously brightly tart deeply savory structure lightly syrupy plush mouthfeel grapefruit zest blackberry carry crisply resonant finish,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.3612}",0.3612,0.6806,7.1254
Big Creek Coffee Roasters,sweet spicetoned pungent hazelnut cocoa ripe cantaloupe tangerine zest hint cinnamon aroma cup complexly structured sweet gently tart slightly bitterish syrupy full mouthfeel cocoa tangerine carry deep long finish,"{'neg': 0.064, 'neu': 0.689, 'pos': 0.248, 'compound': 0.7713}",0.7713,0.88565,8.97085
Noble Coffee Roasting,delicate sweetly tart strawberry caramel musk cocoa butter magnolia aroma cup quietly tartleaning structure sweet undertone plush syrupy body perfumy almost musklike finish characterized tart fruit note short cocoa butter long,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.743}",0.743,0.8714999999999999,8.843499999999999
Red E Café,deeply richly sweetsavory orange marmalade pipe tobacco dried fig dark chocolate freesialike flower aroma cup bright sweetlytart structure zesty acidity delicately satiny mouthfeel note richly savory pipe tobacco lead finish paired dried fig short orange marmalade long,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.883}",0.883,0.9415,9.4735
Ben's Beans,deeply sweet fruit cocoatoned baker ’ chocolate dried coconut tea rose almond cedar aroma cup fruittoned structure round gentle acidity crisp though syrupy mouthfeel spicetoned finish suggests homemade fruitcake note dried fruit nut warming spice,"{'neg': 0.0, 'neu': 0.799, 'pos': 0.201, 'compound': 0.7778}",0.7778,0.8889,9.0001
Espresso Republic,deeply sweet chocolatetoned dark chocolate brazil nut gardenia baked apple cedar aroma cup roundly sweet structure lean lightly syrupy body gently drying finish characterized note dark chocolate throughout supported gardenia apple tone short cedar long,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.8976}",0.8976,0.9488,9.5392
Roast House,richly sweet fruittoned dried strawberry dark chocolate freesialike flower tangerine zest hint aged rum aroma cup sweetly round structure syrupy mouthfeel finish crisply richly drying lingering hint aged rum enveloped dark chocolate,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.8979}",0.8979,0.94895,9.54055
Red Rooster Coffee Roaster,richly sweet spicetoned baker ’ chocolate tangerine zest clove date sandalwood aroma cup hightoned sweetly tart structure plush syrupy mouthfeel finish center around cocoatoned clove note deeply sweet fruit short aromatic sandalwood long,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.9001}",0.9001,0.9500500000000001,9.550450000000001
Speckled Ax,deeply sweetsavory uniquely pungent ripe tomato pink peppercorn lantanalike flower blood orange zest fresh pipe tobacco aroma cup savoryleaning richly sweet structure plush syrupy mouthfeel finish equal part sweet savory note citrus zest lantana linger short rich pipe tobacco long ripe tomato resonates throughout,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.93}",0.93,0.9650000000000001,9.685
Fumi Coffee,crisply sweettart hightoned lemon verbena cedar pomegranate lavender maple syrup aroma cup sweetly tart structure bright juicy acidity finish deep rich sweet lemony herb tone tart fruit note hint aromatic wood,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.9118}",0.9118,0.9559,9.6031
Good Folks Coffee,intensely sweet intricately rich pink grapefruit zest blackberry fresh pipe tobacco lavender baker ’ chocolate aroma cup balanced sweetsavory structure crisp satiny buoyant mouthfeel resonant finish lead note berry citrus zest short rounding chocolate long spicy florals throughout,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.8849}",0.8849,0.94245,9.482050000000001
Flight Coffee Co.,crisp sweetsavory mulberry pink peppercorn maple syrup gardenia cedar aroma cup crisply sweetsavory structure viscous velvety mouthfeel rich though drying finish center around spicy florals berry tone short note aromatic wood maple syrup long,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.5574}",0.5574,0.7787,8.008299999999998
Dragonfly Coffee Roasters,sweetly pungent richly savorytoned blackberry jam roasted cacao nib rhododendron sundried tomato nougat aroma cup sweetsavory structure crisp floral acidity viscous lightly syrupy mouthfeel finish sweettoned balanced lingering note berry cocoa,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.7184}",0.7184,0.8592,8.7328
OQ Coffee Co.,bright crisp deeply sweet honey lilac cedar tea rose mango aroma cup crisply sweettart structure satinysmooth body note mango spicetoned florals carry short finish honey lingers long,"{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.7346}",0.7346,0.8673,8.8057
Green Stone Coffee,crisp sweetly tart dark chocolate pie cherry cedar honey magnolia aroma cup bittersweet structure crisp citruslike acidity velvety mouthfeel finish consolidates honeytoned stonefruit short dark chocolate long,"{'neg': 0.044, 'neu': 0.85, 'pos': 0.105, 'compound': 0.4215}",0.4215,0.71075,7.39675
Willoughby's Coffee & Tea,complex uniquely sweet tropical plumeria roasted cacao nib mango sandalwood nougat aroma cup sweetly tart structure bright juicy acidity syrupy mouthfeel finish carry promise cup rich florals short deep fruit note long new element soft fruit tone suggesting coconut surface,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.9313}",0.9313,0.96565,9.69085
Bird Rock Coffee Roasters,hightoned richly sweet strawberry guava roasted cacao nib lime zest jasmine almond aroma cup sweetlytart structure juicy balanced acidity plush syrupy mouthfeel finish long resonant lime zest strawberry guava short rounding cocoatoned jasmine deeply sweet long,"{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.836}",0.836,0.9179999999999999,9.261999999999999
Equator Coffees & Teas,spicetoned richly sweet raspberry dark chocolate hazelnut gardenia bergamot aroma cup sweet fruitforward structure full satiny mouthfeel resonant flavorsaturated finish characterized note rich chocolate berry bittersweet citrus complication,"{'neg': 0.035, 'neu': 0.625, 'pos': 0.34, 'compound': 0.9042}",0.9042,0.9521,9.5689
JBC Coffee Roasters,sweetly bright spicy savoryedged orange zest black currant baker ’ chocolate tamarind floraltoned vanilla redwood aroma cup deeply bright richly savory structure syrupy lively mouthfeel deep lasting finish saturated flavor chocolate black currant vanilla,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.9322}",0.9322,0.9661,9.6949
Willoughby's Coffee & Tea,richly sweettart crisply complex dark chocolate roasted cashew pink grapefruit sandalwood chinese fivespice aroma cup structure drying sweetly juicy buoyant plump mouthfeel nuttoned chocolate hint sandalwood spice saturate sweet richly dry finish,"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.9153}",0.9153,0.95765,9.61885
Hula Daddy Kona Coffee,sweet deep intense balanced peach maple syrup sandalwood grapefruit zest almond magnolia aroma cup round resonantly sweetly bright structure silky buoyant mouthfeel deep long flavorsaturated finish,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.8807}",0.8807,0.94035,9.46315
Klatch Coffee,crisply sweetly tart delicate yet confident peach vanilla bean grapefruit zest almond pink peppercorn aroma cup poised structure sweet tart savory mouthfeel cushiony plush flavor saturates savoryedged drying finish,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.8885}",0.8885,0.94425,9.49825
Paradise Roasters,spicetoned chocolaty chocolatetoned malt date hazelnut fresh pipe tobacco stick cinnamon aroma cup richly bittersweet structure velvetysmooth mouthfeel finish richly chocolatetoned hint cinnamon,"{'neg': 0.046, 'neu': 0.669, 'pos': 0.285, 'compound': 0.7783}",0.7783,0.88915,9.00235
Campos Coffee,crisply sweet intricate delicately rich jasmine tangerine zest sandalwood sweet ripe banana roasted cacao nib aroma cup balanced roundly gracefully sweettart structure lightfooted plush mouthfeel flavor consolidates around jasmine sandalwood banana sweet lasting finish,"{'neg': 0.0, 'neu': 0.579, 'pos': 0.421, 'compound': 0.9559}",0.9559,0.97795,9.80155
Ka'u Specialty Coffee,deeply sweet delicately zesty complexly fruit floraltoned peach grapefruit zest alyssumlike flower dark chocolate cinnamon aroma cup sweetly tart structure deepening savorybitter edge light satiny mouthfeel flavor saturates deep richly floral chocolatetoned finish,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.8903}",0.8903,0.9451499999999999,9.50635
Simon Hsieh’s Aroma Roast Coffees,evaluated espresso crisply sweettart frangipane dark chocolate cedar tamarind jasmine aroma small cup crisp velvety mouthfeel nuttoned richly tannic finish cappuccinoscaled milk invitingly bittersweet note dark chocolate jasmine harmony,"{'neg': 0.04, 'neu': 0.79, 'pos': 0.17, 'compound': 0.6486}",0.6486,0.8243,8.418700000000001
Amavida Coffee Roasters,sweetly tart intense balanced orange zest red currant tea rose white sage roasted cashew aroma cup brisk savoryedged sweet structure impressively buoyant almost effervescent mouthfeel flavor fade hint sage cashew sweet though drying finish,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.9313}",0.9313,0.96565,9.69085
Paradise Roasters,evaluated espresso sweetly bright tartly juicy grapefruit zest mango chocolate freshcut fir aroma small cup lightly syrupy lively mouthfeel round finish chocolate come forward three part milk dry orangy chocolate dominates crisply pleasingly,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.8442}",0.8442,0.9220999999999999,9.2989
JBC Coffee Roasters,intensely rich deeply sweet complex chocolate fudge lavender grapefruit zest moist periquestyle tobacco coconutcovered date aroma cup balanced sweetly savory structure lively acidity buoyant syrupy mouthfeel flavorladen finish offer chocolatetoned spicy florals short resolving rich date note undertone perique tobacco long,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.9676}",0.9676,0.9838,9.8542
JBC Coffee Roasters,crisply sweet hightoned maple syrup narcissus ripe orange hazelnut hint cardamom aroma cup gently sweettart structure velvety mouthfeel short finish lead attractive bittersweet orange tone narcissus cardamom carry long,"{'neg': 0.037, 'neu': 0.71, 'pos': 0.253, 'compound': 0.8225}",0.8225,0.91125,9.20125
PT's Coffee Roasting,richly sweet crisply complex spicetoned lilac bergamot white peach caramelized walnut sandalwood aroma cup delicate sweetly tart juicy structure crisp satiny mouthfeel quietly resonant finish flavorsaturated stonefruit bergamot carry short sandalwoodnuanced lilac note resurface long,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.8481}",0.8481,0.92405,9.31645
PT's Coffee Roasting,delicate crisply sweet dried coconut baker ’ chocolate candied violet cedar nutmeg aroma cup balanced sweettart structure silky mouthfeel gently drying finish carried note chocolatetoned coconut short cedar long whisper sweet candied violet,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.8481}",0.8481,0.92405,9.31645
PT's Coffee Roasting,engaging richly sweetsavory caramelized fig earthy pipe tobacco aged rum hibiscus cinnamon aroma cup sweetly tart structure velvetysmooth mouthfeel long finish consolidates cinnamon caramelized fig hint aged rum,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.8126}",0.8126,0.9063,9.1567
Hala Tree Kona Coffee,sweettoned fruitforward raspberry cedar baker ’ chocolate gardenia molasses aroma cup bittersweet structure velvety mouthfeel crisp gently drying finish lead note chocolatetoned berry short spicysweet florals aromatic wood note long,"{'neg': 0.042, 'neu': 0.863, 'pos': 0.096, 'compound': 0.4019}",0.4019,0.70095,7.308549999999999
Chocolate Fish Coffee Roasters,richly sweet hightoned maple syrup orange zest roasted cacao nib peach cedar aroma cup sweettart structure satiny mouthfeel resonant finish throughline roasted cacao nib accompanied note peach maple syrup short orange zest cedar long,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.7096}",0.7096,0.8548,8.693200000000001
Barrington Coffee Roasting,vibrant richly sweet cleartoned roasted cacao nib ginger blossom dried fig sandalwood sugar cane aroma cup lushly sweettart structure juicy acidity crisp velvety mouthfeel deep resonant finish flavorladen fulfilling promise cup spicy floral note short cocoatoned fruit long,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.891}",0.891,0.9455,9.5095
Speckled Ax,intense dynamic richly sweetsavory passionfruit jam baker ’ chocolate aromatic orchid sandalwood almond aroma cup bright sweetly tart structure full velvety mouthfeel resonant finish crisply sweet layer complex fruit floral note short consolidating baker ’ chocolate almond long,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.93}",0.93,0.9650000000000001,9.685
Kakalove Cafe,evaluated espresso deeply expressed dark chocolate magnolialike flower grapefruit zest date cedar aroma small cup lean though smooth mouthfeel chocolatetoned finish hint cedar chocolate deepens three part milk enlivened continued suggestion magnolia grapefruit,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.5,5.5
Espresso Republic,delicate sweetly spicetoned red currant lemon verbena baker ’ chocolate rose hip hint cannabis aroma cup crisply sweetsavory structure crisp velvety mouthfeel finish sweetly herbtoned leading note lemon verbena red currant short sweet muskiness akin cannabis long throughline baker ’ chocolate,"{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.8555}",0.8555,0.9277500000000001,9.34975
Kakalove Cafe,evaluated espresso bright zestysweet baker ’ chocolate lemon zest black cherry freshcut fir narcissus aroma small cup crisp velvety mouthfeel balanced sweetly tart finish threeparts milk coffee particularly impress rich chocolate harmoniously envelops tart fruit sweet floral note,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.9582}",0.9582,0.9791000000000001,9.811900000000001
The WestBean Coffee Roasters,sweetly savory layered rhododendronlike flower cinnamon baker ’ chocolate cedar red currant aroma cup round savoryleaning structure crisp velvety mouthfeel quiet finish center note vanillalike florals baker ’ chocolate hint cinnamon,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.4767}",0.4767,0.7383500000000001,7.645150000000001
Mystic Monk Coffee,richly sweet chocolatetoned molasses baker ’ chocolate lily cedar black peppercorn aroma cup bittersweet structure round gentle acidity velvetysmooth mouthfeel finish thoroughly chocolatetoned leading baker ’ chocolate short complicated deep florals aromatic wood rounding cocoa powder molasses long,"{'neg': 0.031, 'neu': 0.76, 'pos': 0.209, 'compound': 0.8176}",0.8176,0.9088,9.1792
JBC Coffee Roasters,evaluated espresso delicate crisply sweetsavory tamarind baker ’ chocolate rhododendron mulberry oak aroma small cup confident satinysmooth mouthfeel richly drying finish redolent chocolatetoned aromatic oak three part milk chocolate sweet floral note merge bloom pretty hint tangerine zest also surface,"{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.91}",0.91,0.9550000000000001,9.595
JBC Coffee Roasters,deeply sweet richly savory dried apricot roasted cacao nib freesia almond tamarind aroma cup balanced sweetsavory structure syrupysmooth mouthfeel finish lead note dried stone fruit spicy florals short rounding almond cocoa long hint tamarindlike sweettartness,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.7828}",0.7828,0.8914,9.0226
JBC Coffee Roasters,deeply sweet intensely pungent dark chocolate tangerine zest star jasmine maple syrup frankincense aroma cup deeply sweettoned structure lively bright acidity satiny mouthfeel finish elegant cup implies flavorsaturated floral chocolate fruittoned short long,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.9092}",0.9092,0.9546,9.5914
"Good Chance Biotechnology, Ltd.",richly savory sweetly herbtoned baker ’ chocolate fennel black cherry cedar wisterialike flower aroma cup round deeply sweet structure syrupy mouthfeel cocoatoned finish lead black cherry short settle cedartoned flower long,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.8516}",0.8516,0.9258,9.3322
"Good Chance Biotechnology, Ltd.",delicately sweettart fruittoned strawberry aged rum cocoa powder pink peppercorn celery seed aroma cup sweetly fermenty structure satinysmooth mouthfeel hint aged rum carry finish accompanied berry note short spicetoned savory note long,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.6249}",0.6249,0.81245,8.31205
Ka'u Specialty Coffee,gently bittersweet deeply floraltoned baker ’ chocolate aromatic orchid hazelnut oak aroma cup lowtoned crisply bittersweet structure mouthfeel light though silky finish consolidates rich oaky chocolate,"{'neg': 0.086, 'neu': 0.695, 'pos': 0.219, 'compound': 0.7184}",0.7184,0.8592,8.7328
Red Rooster Coffee Roaster,resonantly fruitforward elegant complex honey dried raspberry chocolate truffle aged rum hint marjoram aroma cup juicy rich structure bright vibrant acidity full satiny mouthfeel suggestion sweet marjoram complicates rich flavorsaturated finish lead honey raspberry note short rounding chocolate aged rum long,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.9618}",0.9618,0.9809,9.8281
Manzanita Roasting Company,crisply sweet spicetoned dried papaya caramel tangerine zest pinkpeppercorn vanilla aroma cup hightoned sweetly tart structure juicy bright acidity lean though satinysmooth mouthfeel resonant richly drying finish laden sweet note caramel papaya short turning savoryleaning long hint pink peppercorn wrapped vanilla,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.9313}",0.9313,0.96565,9.69085
Bird Rock Coffee Roasters,resonantly bright floraltoned jasmine frankincense cardamom toffee apricot aroma cup balanced sweetly tart structure juicy acidity crisp velvety mouthfeel deep flavorsaturated finish lead carameltoned apricot short rich florals resurfacing long,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.8625}",0.8625,0.93125,9.38125
A.R.C.,deeply rich spicy sweet pear cedar vanilla grapefruit zest cumin aroma cup tartly bittersweet structure full syrupy though drying mouthfeel resonant finish consolidates around pear floraltoned vanilla,"{'neg': 0.04, 'neu': 0.739, 'pos': 0.22, 'compound': 0.7818}",0.7818,0.8909,9.0181
Temple Coffee and Tea,delicate deeply sweet complexly layered passionfruit roasted cacao nib frankincense lilac almond aroma cup balanced sweettart structure juicy acidity crisp satiny mouthfeel richly cocoatoned finish redolent tropical fruit fragrant aromatic wood,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.7501}",0.7501,0.87505,8.87545
