name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,cleaned_desc_1,sentiment_score,label,roberta_sentiment_score,predicted_labels
Thiriku AA Kenya,PT's Coffee Roasting,Medium,United States,Central Kenya,Sidama (Also Sidamo) Growing Region,7.2,95,2017-11-01,"Intense; deep, spice-complicated sweetness. Black currant, baker’s chocolate, peppercorn medley, black sage, a hint of lush lily in aroma and cup. Balanced and lively in structure: sweetly tart with a savory edge. Plush, silky mouthfeel. Chocolate moves forward in a resonant, long, lively finish.",intense deep spicecomplicated sweetness black currant baker ’ chocolate peppercorn medley black sage hint lush lily aroma cup balanced lively structure sweetly tart savory edge plush silky mouthfeel chocolate move forward resonant long lively finish,0.9081,1,0.94252723,1
Ethiopia Natural Yirgacheffe Tore,Kakalove Cafe,Medium_Light,Taiwan,Tore Village,Yirgacheffe Growing Region,3.89,93,2017-11-01,"Deeply crisp, lushly floral. Rose, almond, dark chocolate, lime zest, peppermint in aroma and cup. Tartly sweet with a clear savory edge in structure; plump, juicy mouthfeel. Finish is complex and resonant in the short, consolidating around a fading lime and mint in the long. ",deeply crisp lushly floral rose almond dark chocolate lime zest peppermint aroma cup tartly sweet clear savory edge structure plump juicy mouthfeel finish complex resonant short consolidating around fading lime mint long,0.6808,1,0.94252723,1
Direct Fair Trade Espresso,Level Ground Trading,Medium_Light,Canada,Africa,South America,2.82,92,2017-11-01,"Evaluated as espresso. Intrigungly complex, balanced. Dark chocolate, molasses, cedar, narcissus, date in aroma and small cup. Satiny-smooth body; sweetly cocoa-toned finish. In three parts milk, floral and cocoa tones lead in the short, while hints of rich date resurface in the long.",evaluated espresso intrigungly complex balanced dark chocolate molasses cedar narcissus date aroma small cup satinysmooth body sweetly cocoatoned finish three part milk floral cocoa tone lead short hint rich date resurface long,0.7717,1,0.94250506,1
Decaf Ethiopia Sidamo,Old Soul Co.,Medium,United States,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,5.73,90,2017-11-01,"Surprising and melodic, delicate yet vivid. Lilac and lemon blossom, fresh sweet grass, honey, moist pipe tobacco, fresh-cut elm in aroma and cup. In structure subtly and sweetly tart. Very light, silky mouthfeel. Unexpectedly rich and flavor-saturated in the finish: pipe tobacco, honey, lemon blossom.",surprising melodic delicate yet vivid lilac lemon blossom fresh sweet grass honey moist pipe tobacco freshcut elm aroma cup structure subtly sweetly tart light silky mouthfeel unexpectedly rich flavorsaturated finish pipe tobacco honey lemon blossom,0.9231,1,0.9425176,1
Ethiopia Yirgacheffe Washed G1,A.R.C.,Medium_Light,Hong Kong,Yirgacheffe Growing Region,Southern Ethiopia,6.87,92,2017-11-01,"Delicate, gently tart, spice-toned. Pomegranate, cocoa powder, lemon blossom, white peppercorn, hazelnut in aroma and cup. Lively, quietly complex structure; crisp, buoyant mouthfeel. The finish leads with gently drying notes of hazelnut and white peppercorn in the short and segues to cocoa-toned citrus blossoms in the long. ",delicate gently tart spicetoned pomegranate cocoa powder lemon blossom white peppercorn hazelnut aroma cup lively quietly complex structure crisp buoyant mouthfeel finish lead gently drying note hazelnut white peppercorn short segue cocoatoned citrus blossom long,0.875,1,0.94252574,1
Ethiopia Yirgacheffe Natural G1,A.R.C.,Medium_Light,Hong Kong,Yirgacheffe Growing Region,Southern Ethiopia,6.87,91,2017-11-01,"Rich, sweet-toned, balanced. Nougat, pink peppercorn, lemongrass, roasted cacao nib, tea rose in aroma and cup. Floral-toned, bittersweet structure; delicate, satiny mouthfeel. Notes of aromatic wood and spice-toned florals carry the gently drying finish.",rich sweettoned balanced nougat pink peppercorn lemongrass roasted cacao nib tea rose aroma cup floraltoned bittersweet structure delicate satiny mouthfeel note aromatic wood spicetoned florals carry gently drying finish,0.7579,1,0.94250256,1
“Fruity” Espresso Blend,A.R.C.,Medium_Light,Hong Kong,Ethiopia,Kenya,11.45,95,2017-11-01,"Evaluated as espresso. Subtle and enveloping, richly sweet-toned. Jasmine, roasted cacao nib, passionfruit, sandalwood, nougat in aroma and small cup.  Delicate, silky mouthfeel; cocoa- and sandalwood-toned finish with notes of passionfruit carrying into the long. In three parts milk, passionfruit and jasmine harmonize with cocoa and a pleasing aromatic wood.",evaluated espresso subtle enveloping richly sweettoned jasmine roasted cacao nib passionfruit sandalwood nougat aroma small cup delicate silky mouthfeel cocoa sandalwoodtoned finish note passionfruit carrying long three part milk passionfruit jasmine harmonize cocoa pleasing aromatic wood,0.8481,1,0.9425072,1
Decaf Colombia Select,Bootstrap Coffee Roasters,Medium_Light,United States,Colombia,Ethiopia,4.41,87,2017-11-01,"Sweet, delicate, floral and wood-toned. Fresh-cut fir, demerara sugar, orange zest, faint rose-like flowers in aroma and cup. Gently bittersweet structure; very lightly syrupy mouthfeel. Flavor consolidates but persists in a round, sweet-toned finish.",sweet delicate floral woodtoned freshcut fir demerara sugar orange zest faint roselike flower aroma cup gently bittersweet structure lightly syrupy mouthfeel flavor consolidates persists round sweettoned finish,0.7096,1,0.9425058,1
Ethiopia Awassa,Paradise Roasters,Medium_Light,United States,Yirgacheffe,Ethiopia,5.28,93,2017-11-01,"Crisply sweet, multi-faceted. Candied violet, dark chocolate, pungent juniper wood, grapefruit zest, mango in aroma and cup. Sweetly tart structure with juicy acidity; satiny mouthfeel. The resonant finish centers around mango and violet in the short and dark chocolate in the long, with a hint of aromatic wood.",crisply sweet multifaceted candied violet dark chocolate pungent juniper wood grapefruit zest mango aroma cup sweetly tart structure juicy acidity satiny mouthfeel resonant finish center around mango violet short dark chocolate long hint aromatic wood,0.7269,1,0.9425359,1
100% Kona SL-28,Hula Daddy Kona Coffee,Medium_Light,Hawai'i,Holualoa,North Kona Growing District,33.05,97,2017-11-01,"Spectacularly sweet and hugely aromatic. Meyer lemon marmalade, cedar, pistachio, guava, jasmine in aroma and cup. Crisply sweet/tart and massively juicy in structure; plush, buoyant mouthfeel. The juicy structure and complex aromatics persist in a long, lingering finish.   ",spectacularly sweet hugely aromatic meyer lemon marmalade cedar pistachio guava jasmine aroma cup crisply sweettart massively juicy structure plush buoyant mouthfeel juicy structure complex aromatics persist long lingering finish,0.5994,1,0.94250953,1
Kenya Kirinyaga Mukangu AB,Kakalove Cafe,Medium_Light,Taiwan,Kirinyaga District,South-Central Kenya,4.6,95,2017-11-01,"Crisply sweet-savory. Lavender, roasted cacao nib, strawberry guava, hazelnut, toasted barley in aroma and cup. Sweetly floral structure with savory undertones; crisp, velvety mouthfeel. The cocoa-toned finish leads with spicy florals and tropical fruit in the short, grounded by pleasing notes of toasted barley in the long.",crisply sweetsavory lavender roasted cacao nib strawberry guava hazelnut toasted barley aroma cup sweetly floral structure savory undertone crisp velvety mouthfeel cocoatoned finish lead spicy florals tropical fruit short grounded pleasing note toasted barley long,0.7579,1,0.9425432,1
Kenya Nyeri Othaya Gatugi Red Cherry Project AA,Jackrabbit Java,Medium_Dark,United States,Nyeri Growing Region,South-Central Kenya,5.29,92,2017-11-01,"Sweetly pungent, gently roasty. Scorched cedar, dark chocolate, plum, lavender, lime zest in aroma and cup. Complex in structure: sweetly tart with a roasty, savory depth. Light, satiny mouthfeel. Lemon zest, dark chocolate, plum carry into a rich though drying finish.",sweetly pungent gently roasty scorched cedar dark chocolate plum lavender lime zest aroma cup complex structure sweetly tart roasty savory depth light satiny mouthfeel lemon zest dark chocolate plum carry rich though drying finish,0.9153,1,0.9425394,1
Ethiopia Washed Yirgacheffe Adado,Kakalove Cafe,Medium_Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,3.89,95,2017-11-01,"Elegant, deep, sweetly savory. Jasmine, sandalwood, plum, nutella-like nut and cocoa, tangerine zest in aroma and cup. High-toned, balanced structure with citrusy acidity; syrupy-smooth mouthfeel. The finish is long, resonant and flavor-saturated, carrying through on the promise of the cup.",elegant deep sweetly savory jasmine sandalwood plum nutellalike nut cocoa tangerine zest aroma cup hightoned balanced structure citrusy acidity syrupysmooth mouthfeel finish long resonant flavorsaturated carrying promise cup,0.8176,1,0.94253,1
Outbound Espresso,Propeller Coffee,Medium_Light,Canada,Mexico,Ethiopia,3.98,93,2017-11-01,"Evaluated as espresso. Balanced, deeply and sweetly pungent. Honeysuckle, cashew, baker’s chocolate, cedar, caramel in aroma and small cup. Satiny mouthfeel; crisp, resonant finish that leads with baker’s chocolate in the short, rounding to nut-toned florals in the long. In three-parts milk, full and expressive of cashew butter, baker’s chocolate and honeysuckle. ",evaluated espresso balanced deeply sweetly pungent honeysuckle cashew baker ’ chocolate cedar caramel aroma small cup satiny mouthfeel crisp resonant finish lead baker ’ chocolate short rounding nuttoned florals long threeparts milk full expressive cashew butter baker ’ chocolate honeysuckle,0.5256,1,0.9424942,1
Ace Espresso,Propeller Coffee,Medium_Light,Canada,Mexico,Ethiopia,3.98,94,2017-11-01,"Evaluated as espresso. Floral-toned, lively. Black currant, narcissus, sandalwood, roasted cacao nib, molasses in aroma and small cup. Syrupy, buoyant mouthfeel; gently drying, flavor-saturated finish centered around notes of black currant and narcissus. In three parts milk, centered on narcissus-like florals with cocoa tones and black currant just underneath, with hints of sandalwood resurfacing as well.",evaluated espresso floraltoned lively black currant narcissus sandalwood roasted cacao nib molasses aroma small cup syrupy buoyant mouthfeel gently drying flavorsaturated finish centered around note black currant narcissus three part milk centered narcissuslike florals cocoa tone black currant underneath hint sandalwood resurfacing well,0.836,1,0.9424842,1
Kenya Mutungati,Propeller Coffee,Medium_Light,Canada,Nakuru Province,South-Central Kenya,4.65,94,2017-11-01,"Bright, richly sweet, complex. Red currant, lilac, dark chocolate, lime zest, redwood in aroma and cup. Sweetly savory in structure, with juicy acidity; plush, syrupy mouthfeel. The balanced finish is resonant with notes of red currant and dark chocolate, with hints of lime zest. ",bright richly sweet complex red currant lilac dark chocolate lime zest redwood aroma cup sweetly savory structure juicy acidity plush syrupy mouthfeel balanced finish resonant note red currant dark chocolate hint lime zest,0.8979,1,0.94252884,1
Guatemala El Retiro del Quisaya,Chocolate Fish Coffee Roasters,Light,United States,San Martin Jilotepeque,Chimaltenango Department,5.58,93,2017-11-01,"Delicately sweet and balanced with a subtle hint of fermented fruit. Peach, sweet chocolate, sandalwood, honeysuckle, almond in aroma and cup. Gently and sweetly bright in structure; light yet satiny in mouthfeel. Quiet but resonantly long finish: peach, chocolate, almond.",delicately sweet balanced subtle hint fermented fruit peach sweet chocolate sandalwood honeysuckle almond aroma cup gently sweetly bright structure light yet satiny mouthfeel quiet resonantly long finish peach chocolate almond,0.9432,1,0.94253975,1
Kenya Peaberry Kericho County,Caffe Luxxe,Medium_Light,United States,Kericho County,Kenya,5.88,92,2017-11-01,"Sweetly pungent, lightly savory. Unusual aromatics: floral-toned honey, plum, musk, a hint of coriander in aroma and cup. Crisply sweet, savory-edged structure; lightly syrupy mouthfeel. Dry and gently flavor-saturated in the finish.",sweetly pungent lightly savory unusual aromatics floraltoned honey plum musk hint coriander aroma cup crisply sweet savoryedged structure lightly syrupy mouthfeel dry gently flavorsaturated finish,0.8442,1,0.9425294,1
Static El Salvador Finca Maria Luisa,Espresso Republic,Medium_Light,United States,Santa Rosa,La Unión Department,3.5,89,2017-11-01,"Brisk and subtly layered. Almond butter, dried apricot, fresh-cut fir, hints of dark chocolate and clover in aroma and cup. Sweetly brisk and dry in structure; lightly syrupy mouthfeel. The drying structure sweetens and smoothes a bit in the finish, and chocolate and clover-like flowers move forward.",brisk subtly layered almond butter dried apricot freshcut fir hint dark chocolate clover aroma cup sweetly brisk dry structure lightly syrupy mouthfeel drying structure sweetens smoothes bit finish chocolate cloverlike flower move forward,0.6486,1,0.94251114,1
Kamwangi Kenya,Lexington Coffee Roasters,Medium_Light,United States,Gichugu Division,Kirinyaga County,5.86,93,2017-11-01,"Deeply and pungently sweet-tart. Lavender, grapefruit zest, sandalwood, blackberry, a hint of baker’s chocolate in aroma and cup. Simultaneously brightly tart and deeply savory in structure. Lightly syrupy, plush mouthfeel. Grapefruit zest and blackberry carry into a crisply resonant finish.",deeply pungently sweettart lavender grapefruit zest sandalwood blackberry hint baker ’ chocolate aroma cup simultaneously brightly tart deeply savory structure lightly syrupy plush mouthfeel grapefruit zest blackberry carry crisply resonant finish,0.3612,1,0.94250345,1
Ethiopia Gelana Abaya,Big Creek Coffee Roasters,Medium_Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.41,92,2017-11-01,"Sweet, spice-toned, pungent. Hazelnut, cocoa, ripe cantaloupe, tangerine zest, a hint of cinnamon in aroma and cup. Complexly structured: very sweet, gently tart, slightly bitterish. Syrupy and full in mouthfeel. Cocoa and tangerine carry into a deep, long finish.",sweet spicetoned pungent hazelnut cocoa ripe cantaloupe tangerine zest hint cinnamon aroma cup complexly structured sweet gently tart slightly bitterish syrupy full mouthfeel cocoa tangerine carry deep long finish,0.7713,1,0.9425399,1
Ethiopia Bishan Fugu,Noble Coffee Roasting,Light,United States,Hambela District,Guji Zone,5.58,93,2017-11-01,"Delicate, sweetly tart. Strawberry, caramel, musk, cocoa butter, magnolia in aroma and cup. Quietly tart-leaning structure with sweet undertones; plush, syrupy body. The perfumy, almost musk-like finish is characterized by tart fruit notes in the short and cocoa butter in the long.",delicate sweetly tart strawberry caramel musk cocoa butter magnolia aroma cup quietly tartleaning structure sweet undertone plush syrupy body perfumy almost musklike finish characterized tart fruit note short cocoa butter long,0.743,1,0.9425224,1
Sustainable Harvest Homacho Waeno Natural,Red E Café,Light,United States,Aleta Wondo,Sidama (Also Sidamo) Growing Region,4.7,93,2017-11-01,"Deeply and richly sweet-savory. Orange marmalade, pipe tobacco, dried fig, dark chocolate, freesia-like flowers in aroma and cup. Bright, sweetly-tart in structure with zesty acidity; delicately satiny mouthfeel. Notes of richly savory pipe tobacco lead in the finish, paired with dried fig in the short and orange marmalade in the long.",deeply richly sweetsavory orange marmalade pipe tobacco dried fig dark chocolate freesialike flower aroma cup bright sweetlytart structure zesty acidity delicately satiny mouthfeel note richly savory pipe tobacco lead finish paired dried fig short orange marmalade long,0.883,1,0.9425424,1
Ethiopia Amaro Gayo Natural,Ben's Beans,Medium_Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.98,92,2017-11-01,"Deeply sweet, fruit- and cocoa-toned. Baker’s chocolate, dried coconut, tea rose, almond, cedar in aroma and cup. Fruit-toned structure with round, gentle acidity; crisp though syrupy mouthfeel. The spice-toned finish suggests homemade fruitcake, with notes of dried fruit, nuts and warming spices. ",deeply sweet fruit cocoatoned baker ’ chocolate dried coconut tea rose almond cedar aroma cup fruittoned structure round gentle acidity crisp though syrupy mouthfeel spicetoned finish suggests homemade fruitcake note dried fruit nut warming spice,0.7778,1,0.9425253,1
Static Colombia Decaf Midnight,Espresso Republic,Medium,United States,Huila,Colombia,4.98,89,2017-12-01,"Deeply sweet, chocolate-toned. Dark chocolate, Brazil nut, gardenia, baked apple, cedar in aroma and cup. Roundly sweet in structure; lean, lightly syrupy body. The gently drying finish is characterized by notes of dark chocolate throughout, supported by gardenia and apple tones in the short and cedar in the long. ",deeply sweet chocolatetoned dark chocolate brazil nut gardenia baked apple cedar aroma cup roundly sweet structure lean lightly syrupy body gently drying finish characterized note dark chocolate throughout supported gardenia apple tone short cedar long,0.8976,1,0.94250566,1
Diima #9 Ethiopia Natural,Roast House,Medium_Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,7.35,93,2017-12-01,"Richly sweet, fruit-toned. Dried strawberry, dark chocolate, freesia-like flowers, tangerine zest, a hint of aged rum in aroma and cup. Sweetly round in structure; syrupy mouthfeel. The finish is crisply and richly drying with lingering hints of aged rum enveloped by dark chocolate. ",richly sweet fruittoned dried strawberry dark chocolate freesialike flower tangerine zest hint aged rum aroma cup sweetly round structure syrupy mouthfeel finish crisply richly drying lingering hint aged rum enveloped dark chocolate,0.8979,1,0.9425372,1
Sweet Holiday Blend,Red Rooster Coffee Roaster,Medium_Light,United States,Ethiopia,Kenya,4.41,93,2017-12-01,"Richly sweet, spice-toned. Baker’s chocolate, tangerine zest, clove, date, sandalwood in aroma and cup. High-toned, sweetly tart in structure; plush and syrupy in mouthfeel. The finish centers around cocoa-toned clove notes and deeply sweet fruit in the short, aromatic sandalwood in the long.",richly sweet spicetoned baker ’ chocolate tangerine zest clove date sandalwood aroma cup hightoned sweetly tart structure plush syrupy mouthfeel finish center around cocoatoned clove note deeply sweet fruit short aromatic sandalwood long,0.9001,1,0.9425303,1
DR Congo Virunga Organic,Speckled Ax,Medium_Light,United States,Kirumba,North Kivu Province,5.0,93,2017-12-01,"Deeply sweet-savory, uniquely pungent. Ripe tomato, pink peppercorn, lantana-like flowers, blood orange zest, fresh pipe tobacco in aroma and cup. Savory-leaning, richly sweet in structure; plush and syrupy in mouthfeel. The finish is equal parts sweet and savory. Notes of citrus zest and lantana linger in the short and rich pipe tobacco in the long, while ripe tomato resonates throughout.",deeply sweetsavory uniquely pungent ripe tomato pink peppercorn lantanalike flower blood orange zest fresh pipe tobacco aroma cup savoryleaning richly sweet structure plush syrupy mouthfeel finish equal part sweet savory note citrus zest lantana linger short rich pipe tobacco long ripe tomato resonates throughout,0.93,1,0.9425169,1
Holiday Blend,Fumi Coffee,Light,Taiwan,Ethiopia,Costa Rica,9.7,93,2017-12-01,"Crisply sweet-tart, high-toned. Lemon verbena, cedar, pomegranate, lavender, maple syrup in aroma and cup. Sweetly tart in structure with bright, juicy acidity. The finish is deep and rich, with sweet, lemony herb tones, tart fruit notes, and hints of aromatic wood.",crisply sweettart hightoned lemon verbena cedar pomegranate lavender maple syrup aroma cup sweetly tart structure bright juicy acidity finish deep rich sweet lemony herb tone tart fruit note hint aromatic wood,0.9118,1,0.9425383,1
Kenya Thaitu,Good Folks Coffee,Medium_Light,United States,Nakuru County,South-Central Kenya,6.47,95,2017-12-01,"Intensely sweet, intricately rich. Pink grapefruit zest, blackberry, fresh pipe tobacco, lavender, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; crisp, satiny, buoyant mouthfeel. The resonant finish leads with notes of berry and citrus zest in the short, rounding to chocolate in the long, with spicy florals throughout.",intensely sweet intricately rich pink grapefruit zest blackberry fresh pipe tobacco lavender baker ’ chocolate aroma cup balanced sweetsavory structure crisp satiny buoyant mouthfeel resonant finish lead note berry citrus zest short rounding chocolate long spicy florals throughout,0.8849,1,0.9425204,1
Yule Blend 2018,Flight Coffee Co.,Medium_Light,United States,Kirinyaga District,South-Central Kenya,4.41,94,2017-12-01,"Crisp, sweet-savory. Mulberry, pink peppercorn, maple syrup, gardenia, cedar in aroma and cup. Crisply sweet-savory in structure; viscous, velvety mouthfeel. The rich though drying finish centers around spicy florals and berry tones in the short and notes of aromatic wood and maple syrup in the long.",crisp sweetsavory mulberry pink peppercorn maple syrup gardenia cedar aroma cup crisply sweetsavory structure viscous velvety mouthfeel rich though drying finish center around spicy florals berry tone short note aromatic wood maple syrup long,0.5574,1,0.94252264,1
Los Congos Pacamara Honey,Dragonfly Coffee Roasters,Light,United States,Nueva Segovia Growing Region,Nicaragua,5.88,93,2017-12-01,"Sweetly pungent, richly savory-toned. Blackberry jam, roasted cacao nib, rhododendron, sundried tomato, nougat in aroma and cup. Sweet-savory structure with crisp, floral acidity; viscous, lightly syrupy mouthfeel. The finish is sweet-toned and balanced, with lingering notes of berry and cocoa.",sweetly pungent richly savorytoned blackberry jam roasted cacao nib rhododendron sundried tomato nougat aroma cup sweetsavory structure crisp floral acidity viscous lightly syrupy mouthfeel finish sweettoned balanced lingering note berry cocoa,0.7184,1,0.94253355,1
Coffea Diversa Costa Rica Sudan Rume,OQ Coffee Co.,Medium_Light,United States,Biolley,Southern Costa Rica,12.35,93,2017-12-01,"Bright, crisp, deeply sweet. Honey, lilac, cedar, tea rose, mango in aroma and cup. Crisply sweet-tart structure; satiny-smooth body. Notes of mango and spice-toned florals carry the short finish, while honey lingers in the long.",bright crisp deeply sweet honey lilac cedar tea rose mango aroma cup crisply sweettart structure satinysmooth body note mango spicetoned florals carry short finish honey lingers long,0.7346,1,0.94247675,1
Ethiopia Banko Gotiti Natural G1,Green Stone Coffee,Light,Taiwan,Kochere,Yirgacheffe Growing Region,8.44,94,2017-12-01,"Crisp, sweetly tart. Dark chocolate, pie cherry, cedar, honey, magnolia in aroma and cup. Bittersweet in structure with crisp, citrus-like acidity; velvety mouthfeel. The finish consolidates to honey-toned stonefruit in the short and dark chocolate in the long.",crisp sweetly tart dark chocolate pie cherry cedar honey magnolia aroma cup bittersweet structure crisp citruslike acidity velvety mouthfeel finish consolidates honeytoned stonefruit short dark chocolate long,0.4215,1,0.94252175,1
Panama Auromar Geisha Natural,Willoughby's Coffee & Tea,Medium_Light,United States,Piedra Candela,Chiriqui Province,16.17,96,2017-12-01,"Complex, uniquely sweet, tropical. Plumeria, roasted cacao nib, mango, sandalwood, nougat in aroma and cup. Sweetly tart structure with bright, juicy acidity; syrupy mouthfeel. The finish carries through on the promise of the cup, with rich florals in the short and deep fruit notes in the long, where a new element, a soft fruit tone suggesting coconut, surfaces.",complex uniquely sweet tropical plumeria roasted cacao nib mango sandalwood nougat aroma cup sweetly tart structure bright juicy acidity syrupy mouthfeel finish carry promise cup rich florals short deep fruit note long new element soft fruit tone suggesting coconut surface,0.9313,1,0.94250625,1
